NaN,NaN,593.75,123.23,655.26,-15.319,NaN,NaN,NaN,NaN,NaN,NaN,926.24,568.96,NaN,NaN
NaN,NaN,NaN,NaN,653.92,-18.806,NaN,NaN,NaN,NaN,NaN,NaN,925.5,535.02,662.13,1072.2
NaN,NaN,NaN,NaN,652.59,-22.293,NaN,NaN,NaN,NaN,NaN,NaN,925.3,503.22,660.23,1070
NaN,NaN,NaN,NaN,651.25,-25.78,NaN,NaN,NaN,NaN,NaN,NaN,924.64,476.3,659.5,1069.1
NaN,NaN,NaN,NaN,649.91,-29.267,NaN,NaN,NaN,NaN,NaN,NaN,923.92,455.26,658.77,1068.3
NaN,NaN,NaN,NaN,648.57,-32.754,NaN,NaN,NaN,NaN,NaN,NaN,922.42,440.3,658.04,1067.5
NaN,NaN,647.23,-36.241,813.92,1034.9,NaN,NaN,921.18,433.61,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,645.9,-39.728,817.96,1040.8,NaN,NaN,920.85,433.32,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,818.65,1033.7,NaN,NaN,921.5,438.83,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,818.16,1026.8,922.39,452.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,817.54,1023.4,923.18,471.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,817.18,1022,924.81,496.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,816.99,1022.2,925.65,526.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,816.5,1023.3,926.03,557.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
816.09,1024.5,926.81,592.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
814.84,1029,927.34,626.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
814.12,1031.4,927.98,658.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
813.91,1032.1,928.19,689.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
813.88,1032.1,927.94,716.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
813.91,1031.9,927.47,737.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
814,1031.1,927.78,753.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
814.02,1031,927.84,761.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
814.15,1029.7,927.54,764.06,693.58,348.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
