NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
758.58,177.57,944.21,415.88,719.39,1034.9,663.4,953.45,776.69,1067.9,NaN,NaN,690.57,438.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
769.26,192.58,943.85,435.65,719.98,1032,663.26,953.66,773.88,1067.2,NaN,NaN,690.96,439.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
779.94,207.59,943.68,455.84,723.78,1026.7,663.22,953.3,770.91,1067,NaN,NaN,681.85,441.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
790.62,222.6,943.37,472.74,725.44,1022.3,663.13,953.44,767.9,1067.3,NaN,NaN,678.74,442.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
801.3,237.61,943.05,482.83,743.74,1039,663.09,953.48,765.92,1068.1,NaN,NaN,677.95,442.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
811.98,252.62,943,486.82,751.27,1047.3,663.04,953.58,763.94,1068.8,NaN,NaN,675.1,443.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
822.66,267.63,942.99,485.09,758.8,1055.7,662.97,953.75,761.96,1069.6,NaN,NaN,674.26,443.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
692.03,382.5,943.42,478.28,766.33,1064,662.94,953.69,759.98,1070.4,NaN,NaN,674.18,443.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
688.26,390.01,943.12,464.54,773.86,1072.4,662.76,954.37,758,1071.1,NaN,NaN,673.48,443.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
687.74,390.14,943.32,447.1,761.15,1070.6,662.7,954.58,730.26,1017.3,NaN,NaN,673.35,443.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
688.18,388.32,943.94,428.53,763.21,1072.4,662.69,954.62,733.24,1015,673.4,443.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
688.72,386.53,943.91,410.54,765.7,1072.9,662.7,954.28,734.56,1016,673.3,443.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
689.13,385.27,942.28,397.27,768.63,1073.6,662.7,954.49,729.27,1018.8,673.31,443.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
689.49,384.41,941.51,388.64,771.47,1075.2,662.74,954.09,726.33,1017.3,673.35,443.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
689.7,383.89,941.25,385.33,773.06,1075.8,662.79,952.52,723.39,1015.8,673.38,443.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
689.82,383.54,941.35,387.86,774.03,1076.3,662.92,944.73,666.53,1021.8,673.4,443.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
689.9,383.34,941.5,395.72,775.38,1076.5,662.91,948.52,650.32,1022.1,673.41,443.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
689.94,383.23,943.57,408.02,776.51,1075.2,662.97,943.55,659.22,1022.5,673.42,443.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
689.9,383.17,943.99,423.36,776.96,1074.6,662.97,942.07,659.63,1022.9,672.46,443.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
689.87,383.24,943.29,440.23,777.24,1074.1,662.97,941.76,660.42,1022.9,672.13,443.98,658.7,413.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
